filename,comp,ld1,st1,ld0,st0,L1,L2,execution_time,comm_gm,comm_sm,total_cost,units,R,P,lambda,g_GM,g_L1,g_L2,g_SM,error,filepath
10003_2_deltaCalcOutput.cu,32.0,3.5999999999999996,2.4000000000000004,0.0,0.0,4.199999999999999,1.2000000000000002,0.01248168945312501,295.2000000000003,0.0,327.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10003_2_deltaCalcOutput.cu
10003_2_deltaCalcOutput.ptx,19.0,5.0,1.0,0.0,0.0,4.0,1.0,0.01781463623046875,448.0,0.0,467.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10003_2_deltaCalcOutput.ptx
10008_81_softmax_gradient_kernel.cu,30.0,6.6,4.4,1.5,0.5,7.699999999999999,2.2,0.02209472656250001,541.2000000000003,8.0,579.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10008_81_softmax_gradient_kernel.cu
10008_81_softmax_gradient_kernel.ptx,43.0,8.0,1.0,7.0,2.0,6.0,1.0,0.03566741943359375,856.0,36.0,935.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10008_81_softmax_gradient_kernel.ptx
1000_24_transposedMatrixKernel.cu,18.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004440307617187501,98.40000000000002,0.0,116.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_24_transposedMatrixKernel.cu
1000_24_transposedMatrixKernel.ptx,18.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0315093994140625,808.0,0.0,826.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_24_transposedMatrixKernel.ptx
1000_25_additionMatricesKernel.cu,21.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006431579589843755,147.60000000000014,0.0,168.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_25_additionMatricesKernel.cu
1000_25_additionMatricesKernel.ptx,18.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0177764892578125,448.0,0.0,466.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_25_additionMatricesKernel.ptx
1000_26_additionMatricesKernel.cu,16.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006240844726562505,147.60000000000014,0.0,163.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_26_additionMatricesKernel.cu
1000_26_additionMatricesKernel.ptx,12.0,5.0,1.0,0.0,0.0,4.0,1.0,0.017547607421875,448.0,0.0,460.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_26_additionMatricesKernel.ptx
1000_27_transposedMatrixKernel.cu,8.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004058837890625001,98.40000000000002,0.0,106.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_27_transposedMatrixKernel.cu
1000_27_transposedMatrixKernel.ptx,9.0,3.0,1.0,0.0,0.0,2.0,0.0,0.03116607666015625,808.0,0.0,817.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_27_transposedMatrixKernel.ptx
1000_28_additionMatricesKernel.cu,11.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006050109863281255,147.60000000000014,0.0,158.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_28_additionMatricesKernel.cu
1000_28_additionMatricesKernel.ptx,9.0,5.0,1.0,0.0,0.0,4.0,1.0,0.01743316650390625,448.0,0.0,457.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_28_additionMatricesKernel.ptx
1000_29_matrixKernel.cu,27.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006660461425781255,147.60000000000014,0.0,174.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_29_matrixKernel.cu
1000_29_matrixKernel.ptx,13.0,4.0,1.0,0.0,0.0,3.0,1.0,0.01743316650390625,444.0,0.0,457.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_29_matrixKernel.ptx
1000_5_kernel.cu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_5_kernel.cu
1000_5_kernel.ptx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814697265625e-05,0.0,0.0,1.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1000_5_kernel.ptx
1001_0_grayscaleVer2D.cu,11.0,4.2,2.8000000000000003,0.0,0.0,4.8999999999999995,1.4000000000000001,0.013557434082031257,344.4000000000002,0.0,355.4000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1001_0_grayscaleVer2D.cu
1001_0_grayscaleVer2D.ptx,14.0,7.0,3.0,0.0,0.0,7.0,2.0,0.0193023681640625,492.0,0.0,506.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1001_0_grayscaleVer2D.ptx
10024_0_cuda_cmp_kernel.cu,5.0,2.4,1.6,0.0,0.0,2.8,0.8,0.007698059082031251,196.80000000000004,0.0,201.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10024_0_cuda_cmp_kernel.cu
10024_0_cuda_cmp_kernel.ptx,12.0,6.0,1.0,0.0,0.0,4.0,1.0,0.032806396484375,848.0,0.0,860.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10024_0_cuda_cmp_kernel.ptx
10047_0_add.cu,5.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.005821228027343755,147.60000000000014,0.0,152.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10047_0_add.cu
10047_0_add.ptx,18.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0330352783203125,848.0,0.0,866.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10047_0_add.ptx
10047_1_add.cu,5.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.005821228027343755,147.60000000000014,0.0,152.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10047_1_add.cu
10047_1_add.ptx,18.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0330352783203125,848.0,0.0,866.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10047_1_add.ptx
1006_0_kernel_example.cu,1.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.005668640136718755,147.60000000000014,0.0,148.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1006_0_kernel_example.cu
1006_0_kernel_example.ptx,6.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0173187255859375,448.0,0.0,454.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1006_0_kernel_example.ptx
1008_0_blob_rearrange_kernel2_1d.cu,22.0,4.8,3.2,0.0,0.0,5.6,1.6,0.015853881835937503,393.6000000000001,0.0,415.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1008_0_blob_rearrange_kernel2_1d.cu
1008_0_blob_rearrange_kernel2_1d.ptx,18.0,8.0,1.0,0.0,0.0,6.0,1.0,0.0333404541015625,856.0,0.0,874.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1008_0_blob_rearrange_kernel2_1d.ptx
1008_7_blob_rearrange_kernel2.cu,22.0,4.8,3.2,0.0,0.0,5.6,1.6,0.015853881835937503,393.6000000000001,0.0,415.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1008_7_blob_rearrange_kernel2.cu
1008_7_blob_rearrange_kernel2.ptx,19.0,8.0,1.0,0.0,0.0,6.0,1.0,0.03337860107421875,856.0,0.0,875.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1008_7_blob_rearrange_kernel2.ptx
10121_0_MedianFilter_gpu.cu,83.0,8.4,5.6000000000000005,1.5,0.5,9.799999999999999,2.8000000000000003,0.029747009277343764,688.8000000000004,8.0,779.8000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_0_MedianFilter_gpu.cu
10121_0_MedianFilter_gpu.ptx,152.0,4.0,1.0,59.0,11.0,3.0,1.0,0.033416748046875,444.0,280.0,876.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_0_MedianFilter_gpu.ptx
10121_1_addKernel.cu,1.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.005668640136718755,147.60000000000014,0.0,148.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_1_addKernel.cu
10121_1_addKernel.ptx,6.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0173187255859375,448.0,0.0,454.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_1_addKernel.ptx
10121_3_reduce.cu,7.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004020690917968751,98.40000000000002,0.0,105.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_3_reduce.cu
10121_3_reduce.ptx,5.0,4.0,1.0,0.0,0.0,3.0,1.0,0.01712799072265625,444.0,0.0,449.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_3_reduce.ptx
10121_5_reduce.cu,23.0,4.2,2.8000000000000003,2.0,1.0,4.8999999999999995,1.4000000000000001,0.014472961425781257,344.4000000000002,12.0,379.4000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_5_reduce.cu
10121_5_reduce.ptx,19.0,3.0,0.0,3.0,2.0,2.0,0.0,0.01705169677734375,408.0,20.0,447.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10121_5_reduce.ptx
10126_2_conv2genericrev.cu,105.0,18.0,12.0,1.5,0.5,21.0,6.0,0.06061553955078125,1476.0,8.0,1589.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10126_2_conv2genericrev.cu
10126_2_conv2genericrev.ptx,171.0,19.0,5.0,19.0,13.0,16.0,4.0,0.07976531982421875,1792.0,128.0,2091.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10126_2_conv2genericrev.ptx
10220_1_hello.cu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62939453125e-05,0.0,0.0,2.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10220_1_hello.cu
10220_1_hello.ptx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814697265625e-05,0.0,0.0,1.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10220_1_hello.ptx
10223_26_phglobal_reduce_kernel.cu,22.0,2.4,1.6,0.0,0.0,2.8,0.8,0.008346557617187502,196.80000000000004,0.0,218.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10223_26_phglobal_reduce_kernel.cu
10223_26_phglobal_reduce_kernel.ptx,16.0,5.0,2.0,0.0,0.0,4.0,1.0,0.032958984375,848.0,0.0,864.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10223_26_phglobal_reduce_kernel.ptx
10242_0_kernel.cu,16.0,0.6,0.4,0.0,0.0,0.7,0.2,0.0024871826171875004,49.20000000000001,0.0,65.20000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10242_0_kernel.cu
10242_0_kernel.ptx,207.0,6.0,7.0,0.0,0.0,9.0,2.0,0.04222869873046875,900.0,0.0,1107.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10242_0_kernel.ptx
10270_2_conv2genericrev.cu,105.0,18.0,12.0,1.5,0.5,21.0,6.0,0.06061553955078125,1476.0,8.0,1589.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10270_2_conv2genericrev.cu
10270_2_conv2genericrev.ptx,171.0,19.0,5.0,19.0,13.0,16.0,4.0,0.07976531982421875,1792.0,128.0,2091.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10270_2_conv2genericrev.ptx
1029_0_gpu_grayscale.cu,23.0,4.8,3.2,0.0,0.0,5.6,1.6,0.015892028808593753,393.6000000000001,0.0,416.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_0_gpu_grayscale.cu
1029_0_gpu_grayscale.ptx,15.0,7.0,1.0,0.0,0.0,5.0,1.0,0.03307342529296875,852.0,0.0,867.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_0_gpu_grayscale.ptx
1029_1_gpu_gaussian.cu,74.0,13.799999999999999,9.200000000000001,1.5,0.5,16.099999999999998,4.6000000000000005,0.04629516601562502,1131.6000000000006,8.0,1213.6000000000006,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_1_gpu_gaussian.cu
1029_1_gpu_gaussian.ptx,41.0,13.0,1.0,9.0,9.0,9.0,2.0,0.05390167236328125,1300.0,72.0,1413.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_1_gpu_gaussian.ptx
1029_2_gpu_sobel.cu,78.0,16.2,10.8,1.5,0.5,18.9,5.4,0.05395507812500001,1328.4000000000003,8.0,1414.4000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_2_gpu_sobel.cu
1029_2_gpu_sobel.ptx,54.0,13.0,1.0,9.0,9.0,9.0,2.0,0.0543975830078125,1300.0,72.0,1426.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1029_2_gpu_sobel.ptx
10383_0_batcherBitonicMergesort64.cu,20.0,2.4,1.6,1.5,0.5,2.8,0.8,0.008575439453125002,196.80000000000004,8.0,224.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_0_batcherBitonicMergesort64.cu
10383_0_batcherBitonicMergesort64.ptx,6.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0313568115234375,808.0,8.0,822.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_0_batcherBitonicMergesort64.ptx
10383_20_global_reduce_kernel.cu,22.0,2.4,1.6,0.0,0.0,2.8,0.8,0.008346557617187502,196.80000000000004,0.0,218.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_20_global_reduce_kernel.cu
10383_20_global_reduce_kernel.ptx,16.0,5.0,2.0,0.0,0.0,4.0,1.0,0.032958984375,848.0,0.0,864.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_20_global_reduce_kernel.ptx
10383_21_shmem_reduce_kernel.cu,28.0,3.5999999999999996,2.4000000000000004,1.5,0.5,4.199999999999999,1.2000000000000002,0.01263427734375001,295.2000000000003,8.0,331.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_21_shmem_reduce_kernel.cu
10383_21_shmem_reduce_kernel.ptx,17.0,3.0,1.0,3.0,2.0,2.0,0.0,0.03223419189453125,808.0,20.0,845.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_21_shmem_reduce_kernel.ptx
10383_24_hello.cu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62939453125e-05,0.0,0.0,2.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_24_hello.cu
10383_24_hello.ptx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.814697265625e-05,0.0,0.0,1.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/10383_24_hello.ptx
