filename,comp,ld1,st1,ld0,st0,L1,L2,execution_time,comm_gm,comm_sm,total_cost,units,R,P,lambda,g_GM,g_L1,g_L2,g_SM,error,filepath
11819_1_gpu_stencil2D_4pt_hack5_cp_rows.cu,19.0,4.2,2.8000000000000003,0.0,0.0,4.8999999999999995,1.4000000000000001,0.013862609863281257,344.4000000000002,0.0,363.4000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11819_1_gpu_stencil2D_4pt_hack5_cp_rows.cu
11819_1_gpu_stencil2D_4pt_hack5_cp_rows.ptx,24.0,7.0,2.0,0.0,0.0,6.0,1.0,0.0335693359375,856.0,0.0,880.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11819_1_gpu_stencil2D_4pt_hack5_cp_rows.ptx
11846_10_atbashGPU.cu,6.0,1.2,0.8,0.0,0.0,1.4,0.4,0.003982543945312501,98.40000000000002,0.0,104.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11846_10_atbashGPU.cu
11846_10_atbashGPU.ptx,7.0,4.0,1.0,0.0,0.0,3.0,1.0,0.01720428466796875,444.0,0.0,451.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11846_10_atbashGPU.ptx
11934_93_relu_gpu_forward.cu,4.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.005783081054687505,147.60000000000014,0.0,151.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11934_93_relu_gpu_forward.cu
11934_93_relu_gpu_forward.ptx,7.0,4.0,1.0,0.0,0.0,3.0,1.0,0.01720428466796875,444.0,0.0,451.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/11934_93_relu_gpu_forward.ptx
13126_0_leven.cu,37.0,6.6,4.4,0.0,0.0,7.699999999999999,2.2,0.02205657958984376,541.2000000000003,0.0,578.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/13126_0_leven.cu
13126_0_leven.ptx,83.0,25.0,6.0,0.0,0.0,21.0,6.0,0.07472991943359375,1876.0,0.0,1959.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/13126_0_leven.ptx
15753_199_downscale.cu,20.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004516601562500001,98.40000000000002,0.0,118.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/15753_199_downscale.cu
15753_199_downscale.ptx,59.0,14.0,7.0,0.0,0.0,14.0,4.0,0.05504608154296875,1384.0,0.0,1443.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/15753_199_downscale.ptx
15777_199_downscale.cu,20.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004516601562500001,98.40000000000002,0.0,118.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/15777_199_downscale.cu
15777_199_downscale.ptx,59.0,14.0,7.0,0.0,0.0,14.0,4.0,0.05504608154296875,1384.0,0.0,1443.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/15777_199_downscale.ptx
16427_1_horspool_match.cu,62.0,3.5999999999999996,2.4000000000000004,0.0,0.0,4.199999999999999,1.2000000000000002,0.01362609863281251,295.2000000000003,0.0,357.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/16427_1_horspool_match.cu
16427_1_horspool_match.ptx,46.0,14.0,0.0,0.0,0.0,9.0,2.0,0.0513458251953125,1300.0,0.0,1346.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/16427_1_horspool_match.ptx
1643_11_FluffyTail.cu,10.0,1.7999999999999998,1.2000000000000002,1.5,0.5,2.0999999999999996,0.6000000000000001,0.006317138671875005,147.60000000000014,8.0,165.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1643_11_FluffyTail.cu
1643_11_FluffyTail.ptx,13.0,6.0,1.0,1.0,1.0,4.0,1.0,0.03314971923828125,848.0,8.0,869.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1643_11_FluffyTail.ptx
1_0_euclidean_kernel.cu,44.0,5.3999999999999995,3.6,3.5,2.5,6.3,1.8,0.0194854736328125,442.80000000000007,24.0,510.80000000000007,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_0_euclidean_kernel.cu
1_0_euclidean_kernel.ptx,33.0,11.0,1.0,3.0,3.0,8.0,2.0,0.03635406494140625,896.0,24.0,953.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_0_euclidean_kernel.ptx
1_14_getColNorms.cu,15.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004325866699218751,98.40000000000002,0.0,113.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_14_getColNorms.cu
1_14_getColNorms.ptx,30.0,10.0,1.0,0.0,0.0,7.0,2.0,0.0351715087890625,892.0,0.0,922.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_14_getColNorms.ptx
1_15_gpuFindMax.cu,38.0,7.199999999999999,4.800000000000001,3.5,2.5,8.399999999999999,2.4000000000000004,0.02488708496093752,590.4000000000005,24.0,652.4000000000005,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_15_gpuFindMax.cu
1_15_gpuFindMax.ptx,68.0,16.0,1.0,3.0,3.0,11.0,3.0,0.05462646484375,1340.0,24.0,1432.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_15_gpuFindMax.ptx
1_16_gpuSwapCol.cu,22.0,7.8,5.2,0.0,0.0,9.1,2.6,0.025238037109375003,639.6000000000001,0.0,661.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_16_gpuSwapCol.cu
1_16_gpuSwapCol.ptx,16.0,10.0,4.0,0.0,0.0,9.0,2.0,0.050201416015625,1300.0,0.0,1316.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_16_gpuSwapCol.ptx
1_17_makeHVector.cu,40.0,6.6,4.4,2.5,1.5,7.699999999999999,2.2,0.02278137207031251,541.2000000000003,16.0,597.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_17_makeHVector.cu
1_17_makeHVector.ptx,90.0,14.0,11.0,4.0,3.0,17.0,5.0,0.0589752197265625,1428.0,28.0,1546.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_17_makeHVector.ptx
1_18_UpdateHHNorms.cu,10.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004135131835937501,98.40000000000002,0.0,108.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_18_UpdateHHNorms.cu
1_18_UpdateHHNorms.ptx,8.0,5.0,1.0,0.0,0.0,4.0,1.0,0.01739501953125,448.0,0.0,456.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_18_UpdateHHNorms.ptx
1_19_gpuKendall.cu,70.0,16.2,10.8,1.5,0.5,18.9,5.4,0.05364990234375001,1328.4000000000003,8.0,1406.4000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_19_gpuKendall.cu
1_19_gpuKendall.ptx,77.0,13.0,1.0,17.0,9.0,9.0,2.0,0.05649566650390625,1300.0,104.0,1481.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_19_gpuKendall.ptx
1_1_euclidean_kernel_same.cu,54.0,6.6,4.4,3.5,2.5,7.699999999999999,2.2,0.02362060546875001,541.2000000000003,24.0,619.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_1_euclidean_kernel_same.cu
1_1_euclidean_kernel_same.ptx,43.0,8.0,3.0,3.0,3.0,7.0,2.0,0.03658294677734375,892.0,24.0,959.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_1_euclidean_kernel_same.ptx
1_20_getRestricted.cu,141.0,16.8,11.200000000000001,0.0,0.0,19.599999999999998,5.6000000000000005,0.05792999267578128,1377.6000000000008,0.0,1518.6000000000008,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_20_getRestricted.cu
1_20_getRestricted.ptx,423.0,121.0,36.0,0.0,0.0,109.0,31.0,0.33000946044921875,8228.0,0.0,8651.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_20_getRestricted.ptx
1_21_getUnrestricted.cu,149.0,19.2,12.8,0.0,0.0,22.4,6.4,0.06574249267578126,1574.4000000000003,0.0,1723.4000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_21_getUnrestricted.cu
1_21_getUnrestricted.ptx,425.0,121.0,36.0,0.0,0.0,109.0,31.0,0.33008575439453125,8228.0,0.0,8653.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_21_getUnrestricted.ptx
1_22_ftest.cu,147.0,16.8,11.200000000000001,0.0,0.0,19.599999999999998,5.6000000000000005,0.05815887451171878,1377.6000000000008,0.0,1524.6000000000008,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_22_ftest.cu
1_22_ftest.ptx,205.0,67.0,2.0,0.0,0.0,48.0,13.0,0.15308380126953125,3808.0,0.0,4013.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_22_ftest.ptx
1_2_maximum_kernel.cu,61.0,6.6,4.4,4.5,3.5,7.699999999999999,2.2,0.02419281005859376,541.2000000000003,32.0,634.2000000000003,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_2_maximum_kernel.cu
1_2_maximum_kernel.ptx,33.0,11.0,1.0,3.0,3.0,8.0,2.0,0.03635406494140625,896.0,24.0,953.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_2_maximum_kernel.ptx
1_36_gpuMeans.cu,47.0,16.8,11.200000000000001,1.5,0.5,19.599999999999998,5.6000000000000005,0.05464935302734378,1377.6000000000008,8.0,1432.6000000000008,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_36_gpuMeans.cu
1_36_gpuMeans.ptx,52.0,9.0,3.0,27.0,18.0,8.0,2.0,0.04302978515625,896.0,180.0,1128.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_36_gpuMeans.ptx
1_37_gpuSD.cu,63.0,14.399999999999999,9.600000000000001,1.5,0.5,16.799999999999997,4.800000000000001,0.04775238037109379,1180.800000000001,8.0,1251.800000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_37_gpuSD.cu
1_37_gpuSD.ptx,55.0,13.0,2.0,21.0,15.0,10.0,3.0,0.04329681396484375,936.0,144.0,1135.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_37_gpuSD.ptx
1_38_gpuPMCC.cu,61.0,12.0,8.0,1.5,0.5,14.0,4.0,0.04016876220703125,984.0,8.0,1053.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_38_gpuPMCC.cu
1_38_gpuPMCC.ptx,49.0,16.0,1.0,13.0,10.0,11.0,3.0,0.05649566650390625,1340.0,92.0,1481.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_38_gpuPMCC.ptx
1_39_gpuMeansNoTest.cu,45.0,16.8,11.200000000000001,1.5,0.5,19.599999999999998,5.6000000000000005,0.05457305908203128,1377.6000000000008,8.0,1430.6000000000008,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_39_gpuMeansNoTest.cu
1_39_gpuMeansNoTest.ptx,48.0,9.0,3.0,27.0,18.0,8.0,2.0,0.042877197265625,896.0,180.0,1124.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_39_gpuMeansNoTest.ptx
1_3_maximum_kernel_same.cu,71.0,7.8,5.2,4.5,3.5,9.1,2.6,0.028327941894531253,639.6000000000001,32.0,742.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_3_maximum_kernel_same.cu
1_3_maximum_kernel_same.ptx,41.0,8.0,3.0,3.0,3.0,7.0,2.0,0.03650665283203125,892.0,24.0,957.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_3_maximum_kernel_same.ptx
1_40_gpuSDNoTest.cu,61.0,14.399999999999999,9.600000000000001,1.5,0.5,16.799999999999997,4.800000000000001,0.04767608642578129,1180.800000000001,8.0,1249.800000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_40_gpuSDNoTest.cu
1_40_gpuSDNoTest.ptx,51.0,13.0,2.0,21.0,15.0,10.0,3.0,0.04314422607421875,936.0,144.0,1131.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_40_gpuSDNoTest.ptx
1_41_gpuPMCCNoTest.cu,59.0,12.0,8.0,1.5,0.5,14.0,4.0,0.04009246826171875,984.0,8.0,1051.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_41_gpuPMCCNoTest.cu
1_41_gpuPMCCNoTest.ptx,45.0,16.0,1.0,13.0,10.0,11.0,3.0,0.05634307861328125,1340.0,92.0,1477.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_41_gpuPMCCNoTest.ptx
1_42_gpuSignif.cu,21.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006431579589843755,147.60000000000014,0.0,168.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_42_gpuSignif.cu
1_42_gpuSignif.ptx,63.0,14.0,5.0,0.0,0.0,13.0,3.0,0.05382537841796875,1348.0,0.0,1411.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_42_gpuSignif.ptx
1_43_dUpdateSignif.cu,36.0,7.199999999999999,4.800000000000001,0.0,0.0,8.399999999999999,2.4000000000000004,0.02389526367187502,590.4000000000005,0.0,626.4000000000005,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_43_dUpdateSignif.cu
1_43_dUpdateSignif.ptx,52.0,9.0,56.0,0.0,0.0,45.0,13.0,0.13153076171875,3396.0,0.0,3448.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_43_dUpdateSignif.ptx
1_44_noNAsPmccMeans.cu,30.0,4.8,3.2,1.5,0.5,5.6,1.6,0.016464233398437503,393.6000000000001,8.0,431.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_44_noNAsPmccMeans.cu
1_44_noNAsPmccMeans.ptx,29.0,5.0,1.0,3.0,2.0,4.0,1.0,0.01895904541015625,448.0,20.0,497.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_44_noNAsPmccMeans.ptx
1_45_scale.cu,27.0,4.2,2.8000000000000003,0.0,0.0,4.8999999999999995,1.4000000000000001,0.014167785644531257,344.4000000000002,0.0,371.4000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_45_scale.cu
1_45_scale.ptx,81.0,16.0,5.0,0.0,0.0,14.0,4.0,0.05588531494140625,1384.0,0.0,1465.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_45_scale.ptx
1_46_get_bin_scores.cu,77.0,8.4,5.6000000000000005,0.0,0.0,9.799999999999999,2.8000000000000003,0.029212951660156264,688.8000000000004,0.0,765.8000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_46_get_bin_scores.cu
1_46_get_bin_scores.ptx,210.0,34.0,9.0,0.0,0.0,30.0,8.0,0.0986480712890625,2376.0,0.0,2586.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_46_get_bin_scores.ptx
1_47_get_entropy.cu,28.0,1.2,0.8,0.0,0.0,1.4,0.4,0.004821777343750001,98.40000000000002,0.0,126.40000000000002,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_47_get_entropy.cu
1_47_get_entropy.ptx,75.0,13.0,1.0,0.0,0.0,9.0,2.0,0.05245208740234375,1300.0,0.0,1375.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_47_get_entropy.ptx
1_48_get_mi.cu,49.0,2.4,1.6,0.0,0.0,2.8,0.8,0.009376525878906252,196.80000000000004,0.0,245.80000000000004,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_48_get_mi.cu
1_48_get_mi.ptx,116.0,28.0,1.0,0.0,0.0,20.0,5.0,0.074615478515625,1840.0,0.0,1956.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_48_get_mi.ptx
