gpu_architecture,gpu_id,kernel_i,kernel_j,kernel_id,grid_x,grid_y,block_x,block_y,total_blocks,threads_per_block,total_threads,execution_time_us,launch_overhead_us,predicted_time_us,predicted_time_ms
RTX_2080_Ti,cuda2,10406,0,10406_0,5,5,15,15,25,225,5625,5.79,2.287,8.077,0.008076999999999999
RTX_2080_Ti,cuda2,104,0,104_0,5,5,15,15,25,225,5625,6.065,2.287,8.352,0.008352
RTX_2080_Ti,cuda2,104,4,104_4,5,5,15,15,25,225,5625,6.012,2.287,8.299,0.008298999999999999
RTX_2080_Ti,cuda2,104,3,104_3,5,5,15,15,25,225,5625,6.89,2.287,9.177,0.009177
RTX_2080_Ti,cuda2,104,2,104_2,5,5,15,15,25,225,5625,6.687,2.287,8.974,0.008974
RTX_2080_Ti,cuda2,104,5,104_5,5,5,15,15,25,225,5625,6.641,2.287,8.928,0.008928
RTX_2080_Ti,cuda2,10835,97,10835_97,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,10693,4,10693_4,5,5,15,15,25,225,5625,6.996,2.287,9.283000000000001,0.009283000000000001
RTX_2080_Ti,cuda2,10693,5,10693_5,5,5,15,15,25,225,5625,7.178,2.287,9.465,0.009465
RTX_2080_Ti,cuda2,15777,199,15777_199,5,5,15,15,25,225,5625,6.681,2.287,8.968,0.008968
RTX_2080_Ti,cuda2,10008,81,10008_81,5,5,15,15,25,225,5625,6.041,2.287,8.328,0.008327999999999999
RTX_2080_Ti,cuda2,10802,7,10802_7,5,5,15,15,25,225,5625,6.577,2.287,8.864,0.008864
RTX_2080_Ti,cuda2,10802,8,10802_8,5,5,15,15,25,225,5625,5.89,2.287,8.177,0.008177
RTX_2080_Ti,cuda2,10802,3,10802_3,5,5,15,15,25,225,5625,6.37,2.287,8.657,0.008657
RTX_2080_Ti,cuda2,10383,20,10383_20,5,5,15,15,25,225,5625,6.038,2.287,8.325,0.008324999999999999
RTX_2080_Ti,cuda2,10383,9,10383_9,5,5,15,15,25,225,5625,6.38,2.287,8.667,0.008667
RTX_2080_Ti,cuda2,10383,0,10383_0,5,5,15,15,25,225,5625,5.805,2.287,8.091999999999999,0.008091999999999998
RTX_2080_Ti,cuda2,10383,28,10383_28,5,5,15,15,25,225,5625,5.646,2.287,7.933,0.007932999999999999
RTX_2080_Ti,cuda2,10383,21,10383_21,5,5,15,15,25,225,5625,5.956,2.287,8.243,0.008243
RTX_2080_Ti,cuda2,10383,24,10383_24,5,5,15,15,25,225,5625,5.646,2.287,7.933,0.007932999999999999
RTX_2080_Ti,cuda2,16427,1,16427_1,5,5,15,15,25,225,5625,6.385,2.287,8.672,0.008672000000000001
RTX_2080_Ti,cuda2,10121,0,10121_0,5,5,15,15,25,225,5625,6.533,2.287,8.82,0.00882
RTX_2080_Ti,cuda2,10121,1,10121_1,5,5,15,15,25,225,5625,5.849,2.287,8.136,0.008136
RTX_2080_Ti,cuda2,10121,3,10121_3,5,5,15,15,25,225,5625,5.836,2.287,8.123000000000001,0.008123000000000002
RTX_2080_Ti,cuda2,10121,5,10121_5,5,5,15,15,25,225,5625,5.89,2.287,8.177,0.008177
RTX_2080_Ti,cuda2,10126,2,10126_2,5,5,15,15,25,225,5625,7.301,2.287,9.588000000000001,0.009588000000000001
RTX_2080_Ti,cuda2,10790,97,10790_97,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,11022,6,11022_6,5,5,15,15,25,225,5625,5.644,2.287,7.931,0.007931
RTX_2080_Ti,cuda2,11022,4,11022_4,5,5,15,15,25,225,5625,5.988,2.287,8.275,0.008275000000000001
RTX_2080_Ti,cuda2,11022,3,11022_3,5,5,15,15,25,225,5625,5.873,2.287,8.16,0.00816
RTX_2080_Ti,cuda2,11022,5,11022_5,5,5,15,15,25,225,5625,5.863,2.287,8.15,0.008150000000000001
RTX_2080_Ti,cuda2,11819,1,11819_1,5,5,15,15,25,225,5625,6.16,2.287,8.447,0.008447
RTX_2080_Ti,cuda2,10024,0,10024_0,5,5,15,15,25,225,5625,5.858,2.287,8.145,0.008145
RTX_2080_Ti,cuda2,10220,1,10220_1,5,5,15,15,25,225,5625,5.647,2.287,7.934,0.007934
RTX_2080_Ti,cuda2,10242,0,10242_0,5,5,15,15,25,225,5625,7.113,2.287,9.4,0.0094
RTX_2080_Ti,cuda2,15753,199,15753_199,5,5,15,15,25,225,5625,6.681,2.287,8.968,0.008968
RTX_2080_Ti,cuda2,1,20,1_20,5,5,15,15,25,225,5625,9.56,2.287,11.847000000000001,0.011847000000000002
RTX_2080_Ti,cuda2,1,18,1_18,5,5,15,15,25,225,5625,5.844,2.287,8.131,0.008131000000000001
RTX_2080_Ti,cuda2,1,0,1_0,5,5,15,15,25,225,5625,6.188,2.287,8.475,0.008475
RTX_2080_Ti,cuda2,1,16,1_16,5,5,15,15,25,225,5625,6.173,2.287,8.46,0.00846
RTX_2080_Ti,cuda2,1,42,1_42,5,5,15,15,25,225,5625,6.088,2.287,8.375,0.008375
RTX_2080_Ti,cuda2,1,45,1_45,5,5,15,15,25,225,5625,6.211,2.287,8.498000000000001,0.008498
RTX_2080_Ti,cuda2,1,17,1_17,5,5,15,15,25,225,5625,6.37,2.287,8.657,0.008657
RTX_2080_Ti,cuda2,1,1,1_1,5,5,15,15,25,225,5625,6.195,2.287,8.482,0.008482
RTX_2080_Ti,cuda2,1,19,1_19,5,5,15,15,25,225,5625,6.472,2.287,8.759,0.008759000000000001
RTX_2080_Ti,cuda2,1,21,1_21,5,5,15,15,25,225,5625,9.561,2.287,11.847999999999999,0.011848
RTX_2080_Ti,cuda2,1,44,1_44,5,5,15,15,25,225,5625,6.073,2.287,8.36,0.00836
RTX_2080_Ti,cuda2,1,43,1_43,5,5,15,15,25,225,5625,6.285,2.287,8.572,0.008572
RTX_2080_Ti,cuda2,1,38,1_38,5,5,15,15,25,225,5625,6.256,2.287,8.543,0.008542999999999999
RTX_2080_Ti,cuda2,1,36,1_36,5,5,15,15,25,225,5625,6.193,2.287,8.48,0.00848
RTX_2080_Ti,cuda2,1,37,1_37,5,5,15,15,25,225,5625,6.243,2.287,8.530000000000001,0.008530000000000001
RTX_2080_Ti,cuda2,1,39,1_39,5,5,15,15,25,225,5625,6.173,2.287,8.46,0.00846
RTX_2080_Ti,cuda2,1,46,1_46,5,5,15,15,25,225,5625,7.964,2.287,10.251000000000001,0.010251000000000001
RTX_2080_Ti,cuda2,1,41,1_41,5,5,15,15,25,225,5625,6.236,2.287,8.523,0.008523
RTX_2080_Ti,cuda2,1,48,1_48,5,5,15,15,25,225,5625,7.363,2.287,9.65,0.00965
RTX_2080_Ti,cuda2,1,15,1_15,5,5,15,15,25,225,5625,6.71,2.287,8.997,0.008997
RTX_2080_Ti,cuda2,1,3,1_3,5,5,15,15,25,225,5625,6.221,2.287,8.508,0.008508
RTX_2080_Ti,cuda2,1,40,1_40,5,5,15,15,25,225,5625,6.222,2.287,8.509,0.008509000000000001
RTX_2080_Ti,cuda2,1,47,1_47,5,5,15,15,25,225,5625,6.784,2.287,9.071,0.009071
RTX_2080_Ti,cuda2,1,2,1_2,5,5,15,15,25,225,5625,6.178,2.287,8.465,0.008465
RTX_2080_Ti,cuda2,1,14,1_14,5,5,15,15,25,225,5625,6.016,2.287,8.303,0.008303000000000001
RTX_2080_Ti,cuda2,1,22,1_22,5,5,15,15,25,225,5625,8.056,2.287,10.343,0.010343
RTX_2080_Ti,cuda2,1029,0,1029_0,5,5,15,15,25,225,5625,6.002,2.287,8.289,0.008289
RTX_2080_Ti,cuda2,1029,1,1029_1,5,5,15,15,25,225,5625,6.329,2.287,8.616,0.008616
RTX_2080_Ti,cuda2,1029,2,1029_2,5,5,15,15,25,225,5625,6.386,2.287,8.673,0.008673
RTX_2080_Ti,cuda2,10047,0,10047_0,5,5,15,15,25,225,5625,5.885,2.287,8.172,0.008172
RTX_2080_Ti,cuda2,10047,1,10047_1,5,5,15,15,25,225,5625,5.885,2.287,8.172,0.008172
RTX_2080_Ti,cuda2,10003,2,10003_2,5,5,15,15,25,225,5625,5.943,2.287,8.23,0.008230000000000001
RTX_2080_Ti,cuda2,1008,0,1008_0,5,5,15,15,25,225,5625,6.041,2.287,8.328,0.008327999999999999
RTX_2080_Ti,cuda2,1008,7,1008_7,5,5,15,15,25,225,5625,6.042,2.287,8.329,0.008329000000000001
RTX_2080_Ti,cuda2,1001,0,1001_0,5,5,15,15,25,225,5625,6.007,2.287,8.294,0.008294000000000001
RTX_2080_Ti,cuda2,1006,0,1006_0,5,5,15,15,25,225,5625,5.843,2.287,8.129999999999999,0.008129999999999998
RTX_2080_Ti,cuda2,1000,27,1000_27,5,5,15,15,25,225,5625,5.928,2.287,8.215,0.008215
RTX_2080_Ti,cuda2,1000,29,1000_29,5,5,15,15,25,225,5625,5.891,2.287,8.178,0.008178000000000001
RTX_2080_Ti,cuda2,1000,28,1000_28,5,5,15,15,25,225,5625,5.891,2.287,8.178,0.008178000000000001
RTX_2080_Ti,cuda2,1000,26,1000_26,5,5,15,15,25,225,5625,5.647,2.287,7.934,0.007934
RTX_2080_Ti,cuda2,1000,24,1000_24,5,5,15,15,25,225,5625,6.012,2.287,8.299,0.008298999999999999
RTX_2080_Ti,cuda2,1000,5,1000_5,5,5,15,15,25,225,5625,5.644,2.287,7.931,0.007931
RTX_2080_Ti,cuda2,1000,25,1000_25,5,5,15,15,25,225,5625,5.974,2.287,8.261,0.008261
RTX_2080_Ti,cuda2,10492,1,10492_1,5,5,15,15,25,225,5625,6.278,2.287,8.565,0.008565
RTX_2080_Ti,cuda2,10716,9,10716_9,5,5,15,15,25,225,5625,6.996,2.287,9.283000000000001,0.009283000000000001
RTX_2080_Ti,cuda2,11846,10,11846_10,5,5,15,15,25,225,5625,5.828,2.287,8.115,0.008115
RTX_2080_Ti,cuda2,10393,4,10393_4,5,5,15,15,25,225,5625,5.844,2.287,8.131,0.008131000000000001
RTX_2080_Ti,cuda2,10393,5,10393_5,5,5,15,15,25,225,5625,5.931,2.287,8.218,0.008218
RTX_2080_Ti,cuda2,13126,0,13126_0,5,5,15,15,25,225,5625,7.757,2.287,10.044,0.010044
RTX_2080_Ti,cuda2,11647,0,11647_0,5,5,15,15,25,225,5625,5.941,2.287,8.228,0.008228
RTX_2080_Ti,cuda2,11647,1,11647_1,5,5,15,15,25,225,5625,5.995,2.287,8.282,0.008282
RTX_2080_Ti,cuda2,11647,10,11647_10,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,11647,4,11647_4,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,11647,3,11647_3,5,5,15,15,25,225,5625,5.941,2.287,8.228,0.008228
RTX_2080_Ti,cuda2,11647,2,11647_2,5,5,15,15,25,225,5625,5.938,2.287,8.225,0.008225
RTX_2080_Ti,cuda2,10270,2,10270_2,5,5,15,15,25,225,5625,7.301,2.287,9.588000000000001,0.009588000000000001
RTX_2080_Ti,cuda2,10426,0,10426_0,5,5,15,15,25,225,5625,6.737,2.287,9.024000000000001,0.009024
RTX_2080_Ti,cuda2,10426,1,10426_1,5,5,15,15,25,225,5625,6.153,2.287,8.44,0.00844
RTX_2080_Ti,cuda2,1040,1,1040_1,5,5,15,15,25,225,5625,7.048,2.287,9.335,0.009335000000000001
RTX_2080_Ti,cuda2,11934,93,11934_93,5,5,15,15,25,225,5625,5.789,2.287,8.076,0.008076
RTX_2080_Ti,cuda2,10223,26,10223_26,5,5,15,15,25,225,5625,6.038,2.287,8.325,0.008324999999999999
RTX_2080_Ti,cuda2,10615,4,10615_4,5,5,15,15,25,225,5625,9.16,2.287,11.447,0.011446999999999999
RTX_2080_Ti,cuda2,10615,5,10615_5,5,5,15,15,25,225,5625,6.857,2.287,9.144,0.009144
RTX_2080_Ti,cuda2,1643,11,1643_11,5,5,15,15,25,225,5625,6.081,2.287,8.368,0.008368
TITAN_V,cuda3,10406,0,10406_0,5,5,15,15,25,225,5625,5.265,2.051,7.316,0.007316
TITAN_V,cuda3,104,0,104_0,5,5,15,15,25,225,5625,5.601,2.051,7.652,0.007652
TITAN_V,cuda3,104,4,104_4,5,5,15,15,25,225,5625,5.536,2.051,7.587,0.007587
TITAN_V,cuda3,104,3,104_3,5,5,15,15,25,225,5625,6.62,2.051,8.671,0.008671
TITAN_V,cuda3,104,2,104_2,5,5,15,15,25,225,5625,6.373,2.051,8.424,0.008424
TITAN_V,cuda3,104,5,104_5,5,5,15,15,25,225,5625,6.303,2.051,8.354,0.008353999999999999
TITAN_V,cuda3,10835,97,10835_97,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,10693,4,10693_4,5,5,15,15,25,225,5625,6.746,2.051,8.797,0.008797000000000001
TITAN_V,cuda3,10693,5,10693_5,5,5,15,15,25,225,5625,6.971,2.051,9.022,0.009022
TITAN_V,cuda3,15777,199,15777_199,5,5,15,15,25,225,5625,6.359,2.051,8.41,0.00841
TITAN_V,cuda3,10008,81,10008_81,5,5,15,15,25,225,5625,5.568,2.051,7.619,0.007619
TITAN_V,cuda3,10802,7,10802_7,5,5,15,15,25,225,5625,6.224,2.051,8.275,0.008275000000000001
TITAN_V,cuda3,10802,8,10802_8,5,5,15,15,25,225,5625,5.385,2.051,7.436,0.007436
TITAN_V,cuda3,10802,3,10802_3,5,5,15,15,25,225,5625,5.974,2.051,8.025,0.008025000000000001
TITAN_V,cuda3,10383,20,10383_20,5,5,15,15,25,225,5625,5.568,2.051,7.619,0.007619
TITAN_V,cuda3,10383,9,10383_9,5,5,15,15,25,225,5625,5.979,2.051,8.030000000000001,0.00803
TITAN_V,cuda3,10383,0,10383_0,5,5,15,15,25,225,5625,5.281,2.051,7.332,0.007332
TITAN_V,cuda3,10383,28,10383_28,5,5,15,15,25,225,5625,5.089,2.051,7.140000000000001,0.0071400000000000005
TITAN_V,cuda3,10383,21,10383_21,5,5,15,15,25,225,5625,5.467,2.051,7.518,0.0075179999999999995
TITAN_V,cuda3,10383,24,10383_24,5,5,15,15,25,225,5625,5.088,2.051,7.139,0.007139
TITAN_V,cuda3,16427,1,16427_1,5,5,15,15,25,225,5625,5.985,2.051,8.036000000000001,0.008036000000000001
TITAN_V,cuda3,10121,0,10121_0,5,5,15,15,25,225,5625,6.172,2.051,8.222999999999999,0.008223
TITAN_V,cuda3,10121,1,10121_1,5,5,15,15,25,225,5625,5.335,2.051,7.386,0.007386
TITAN_V,cuda3,10121,3,10121_3,5,5,15,15,25,225,5625,5.319,2.051,7.37,0.00737
TITAN_V,cuda3,10121,5,10121_5,5,5,15,15,25,225,5625,5.386,2.051,7.437,0.007437
TITAN_V,cuda3,10126,2,10126_2,5,5,15,15,25,225,5625,7.117,2.051,9.168,0.009167999999999999
TITAN_V,cuda3,10790,97,10790_97,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,11022,6,11022_6,5,5,15,15,25,225,5625,5.086,2.051,7.1370000000000005,0.007137
TITAN_V,cuda3,11022,4,11022_4,5,5,15,15,25,225,5625,5.508,2.051,7.559,0.007559
TITAN_V,cuda3,11022,3,11022_3,5,5,15,15,25,225,5625,5.365,2.051,7.416,0.007416000000000001
TITAN_V,cuda3,11022,5,11022_5,5,5,15,15,25,225,5625,5.352,2.051,7.4030000000000005,0.007403000000000001
TITAN_V,cuda3,11819,1,11819_1,5,5,15,15,25,225,5625,5.718,2.051,7.769,0.007769
TITAN_V,cuda3,10024,0,10024_0,5,5,15,15,25,225,5625,5.345,2.051,7.396,0.007396
TITAN_V,cuda3,10220,1,10220_1,5,5,15,15,25,225,5625,5.089,2.051,7.140000000000001,0.0071400000000000005
TITAN_V,cuda3,10242,0,10242_0,5,5,15,15,25,225,5625,6.88,2.051,8.931000000000001,0.008931000000000001
TITAN_V,cuda3,15753,199,15753_199,5,5,15,15,25,225,5625,6.359,2.051,8.41,0.00841
TITAN_V,cuda3,1,20,1_20,5,5,15,15,25,225,5625,9.853,2.051,11.904,0.011904
TITAN_V,cuda3,1,18,1_18,5,5,15,15,25,225,5625,5.329,2.051,7.38,0.00738
TITAN_V,cuda3,1,0,1_0,5,5,15,15,25,225,5625,5.745,2.051,7.796,0.007796
TITAN_V,cuda3,1,16,1_16,5,5,15,15,25,225,5625,5.733,2.051,7.784,0.007784
TITAN_V,cuda3,1,42,1_42,5,5,15,15,25,225,5625,5.627,2.051,7.678,0.007678
TITAN_V,cuda3,1,45,1_45,5,5,15,15,25,225,5625,5.777,2.051,7.828,0.007828
TITAN_V,cuda3,1,17,1_17,5,5,15,15,25,225,5625,5.974,2.051,8.025,0.008025000000000001
TITAN_V,cuda3,1,1,1_1,5,5,15,15,25,225,5625,5.755,2.051,7.806,0.0078060000000000004
TITAN_V,cuda3,1,19,1_19,5,5,15,15,25,225,5625,6.091,2.051,8.142,0.008142
TITAN_V,cuda3,1,21,1_21,5,5,15,15,25,225,5625,9.854,2.051,11.905,0.011904999999999999
TITAN_V,cuda3,1,44,1_44,5,5,15,15,25,225,5625,5.611,2.051,7.662,0.0076619999999999995
TITAN_V,cuda3,1,43,1_43,5,5,15,15,25,225,5625,5.868,2.051,7.9190000000000005,0.007919
TITAN_V,cuda3,1,38,1_38,5,5,15,15,25,225,5625,5.83,2.051,7.881,0.007881
TITAN_V,cuda3,1,36,1_36,5,5,15,15,25,225,5625,5.754,2.051,7.805,0.0078049999999999994
TITAN_V,cuda3,1,37,1_37,5,5,15,15,25,225,5625,5.814,2.051,7.865,0.007865
TITAN_V,cuda3,1,39,1_39,5,5,15,15,25,225,5625,5.729,2.051,7.78,0.0077800000000000005
TITAN_V,cuda3,1,46,1_46,5,5,15,15,25,225,5625,7.912,2.051,9.963000000000001,0.009963000000000001
TITAN_V,cuda3,1,41,1_41,5,5,15,15,25,225,5625,5.805,2.051,7.856,0.007856
TITAN_V,cuda3,1,48,1_48,5,5,15,15,25,225,5625,7.184,2.051,9.235,0.009235
TITAN_V,cuda3,1,15,1_15,5,5,15,15,25,225,5625,6.39,2.051,8.440999999999999,0.008440999999999999
TITAN_V,cuda3,1,3,1_3,5,5,15,15,25,225,5625,5.786,2.051,7.837,0.007837
TITAN_V,cuda3,1,40,1_40,5,5,15,15,25,225,5625,5.789,2.051,7.84,0.00784
TITAN_V,cuda3,1,47,1_47,5,5,15,15,25,225,5625,6.476,2.051,8.527000000000001,0.008527000000000002
TITAN_V,cuda3,1,2,1_2,5,5,15,15,25,225,5625,5.734,2.051,7.785,0.007785
TITAN_V,cuda3,1,14,1_14,5,5,15,15,25,225,5625,5.539,2.051,7.59,0.0075899999999999995
TITAN_V,cuda3,1,22,1_22,5,5,15,15,25,225,5625,8.019,2.051,10.07,0.01007
TITAN_V,cuda3,1029,0,1029_0,5,5,15,15,25,225,5625,5.524,2.051,7.575,0.007575
TITAN_V,cuda3,1029,1,1029_1,5,5,15,15,25,225,5625,5.926,2.051,7.977,0.007977
TITAN_V,cuda3,1029,2,1029_2,5,5,15,15,25,225,5625,5.996,2.051,8.047,0.008047
TITAN_V,cuda3,10047,0,10047_0,5,5,15,15,25,225,5625,5.38,2.051,7.431,0.007431
TITAN_V,cuda3,10047,1,10047_1,5,5,15,15,25,225,5625,5.38,2.051,7.431,0.007431
TITAN_V,cuda3,10003,2,10003_2,5,5,15,15,25,225,5625,5.45,2.051,7.501,0.007501000000000001
TITAN_V,cuda3,1008,0,1008_0,5,5,15,15,25,225,5625,5.573,2.051,7.6240000000000006,0.007624000000000001
TITAN_V,cuda3,1008,7,1008_7,5,5,15,15,25,225,5625,5.574,2.051,7.625,0.007625
TITAN_V,cuda3,1001,0,1001_0,5,5,15,15,25,225,5625,5.529,2.051,7.58,0.00758
TITAN_V,cuda3,1006,0,1006_0,5,5,15,15,25,225,5625,5.328,2.051,7.3790000000000004,0.007379
TITAN_V,cuda3,1000,27,1000_27,5,5,15,15,25,225,5625,5.434,2.051,7.485,0.007485
TITAN_V,cuda3,1000,29,1000_29,5,5,15,15,25,225,5625,5.387,2.051,7.438,0.007437999999999999
TITAN_V,cuda3,1000,28,1000_28,5,5,15,15,25,225,5625,5.387,2.051,7.438,0.007437999999999999
TITAN_V,cuda3,1000,26,1000_26,5,5,15,15,25,225,5625,5.089,2.051,7.140000000000001,0.0071400000000000005
TITAN_V,cuda3,1000,24,1000_24,5,5,15,15,25,225,5625,5.537,2.051,7.588,0.007588
TITAN_V,cuda3,1000,5,1000_5,5,5,15,15,25,225,5625,5.086,2.051,7.1370000000000005,0.007137
TITAN_V,cuda3,1000,25,1000_25,5,5,15,15,25,225,5625,5.49,2.051,7.541,0.007541
TITAN_V,cuda3,10492,1,10492_1,5,5,15,15,25,225,5625,5.858,2.051,7.909,0.007909
TITAN_V,cuda3,10716,9,10716_9,5,5,15,15,25,225,5625,6.746,2.051,8.797,0.008797000000000001
TITAN_V,cuda3,11846,10,11846_10,5,5,15,15,25,225,5625,5.309,2.051,7.36,0.00736
TITAN_V,cuda3,10393,4,10393_4,5,5,15,15,25,225,5625,5.33,2.051,7.381,0.007381
TITAN_V,cuda3,10393,5,10393_5,5,5,15,15,25,225,5625,5.435,2.051,7.486,0.007486
TITAN_V,cuda3,13126,0,13126_0,5,5,15,15,25,225,5625,7.639,2.051,9.690000000000001,0.00969
TITAN_V,cuda3,11647,0,11647_0,5,5,15,15,25,225,5625,5.449,2.051,7.5,0.0075
TITAN_V,cuda3,11647,1,11647_1,5,5,15,15,25,225,5625,5.515,2.051,7.566,0.007566
TITAN_V,cuda3,11647,10,11647_10,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,11647,4,11647_4,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,11647,3,11647_3,5,5,15,15,25,225,5625,5.449,2.051,7.5,0.0075
TITAN_V,cuda3,11647,2,11647_2,5,5,15,15,25,225,5625,5.444,2.051,7.495,0.007495
TITAN_V,cuda3,10270,2,10270_2,5,5,15,15,25,225,5625,7.117,2.051,9.168,0.009167999999999999
TITAN_V,cuda3,10426,0,10426_0,5,5,15,15,25,225,5625,6.428,2.051,8.479,0.008478999999999999
TITAN_V,cuda3,10426,1,10426_1,5,5,15,15,25,225,5625,5.707,2.051,7.758,0.007758
TITAN_V,cuda3,1040,1,1040_1,5,5,15,15,25,225,5625,6.804,2.051,8.855,0.008855
TITAN_V,cuda3,11934,93,11934_93,5,5,15,15,25,225,5625,5.262,2.051,7.313,0.007313
TITAN_V,cuda3,10223,26,10223_26,5,5,15,15,25,225,5625,5.568,2.051,7.619,0.007619
TITAN_V,cuda3,10615,4,10615_4,5,5,15,15,25,225,5625,9.38,2.051,11.431000000000001,0.011431
TITAN_V,cuda3,10615,5,10615_5,5,5,15,15,25,225,5625,6.57,2.051,8.621,0.008621
TITAN_V,cuda3,1643,11,1643_11,5,5,15,15,25,225,5625,5.618,2.051,7.6690000000000005,0.0076690000000000005
